Runs,IntColumn,FloatColumn,IntRow,FloatRow
1,4.96672,5.70465,4.80913,5.40437
2,5.29337,5.2066,5.23265,5.16091
3,5.33969,5.51428,4.88205,4.9978
4,5.05501,5.34071,5.08705,5.22991
5,5.34676,5.58114,5.04049,5.07952
6,5.0256,5.4873,5.10803,5.24946
7,5.39096,5.60357,5.11938,5.42984
8,5.41396,5.64611,5.13538,5.33022
9,5.37972,5.73424,5.06068,5.28904
10,5.26595,5.46428,5.28394,5.30617
